KEY,FREQ,CURRENCY,CURRENCY_DENOM,EXR_TYPE,EXR_SUFFIX,TIME_PERIOD,OBS_VALUE
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2026-08-10,7.7931
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2026-08-11,7.7841
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2026-08-12,7.785
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2026-08-13,7.7774
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2026-08-14,7.7977
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2026-08-17,7.813
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2026-08-18,7.8049
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2026-08-19,7.8197
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2026-08-20,7.8538
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2026-08-21,7.8624
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2026-08-10,1.1555
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2026-08-11,1.154
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2026-08-12,1.1545
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2026-08-13,1.1534
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2026-08-14,1.1567
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2026-08-17,1.1593
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2026-08-18,1.1576
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2026-08-19,1.1605
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2026-08-20,1.1681
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2026-08-21,1.1699
