KEY,FREQ,CURRENCY,CURRENCY_DENOM,EXR_TYPE,EXR_SUFFIX,TIME_PERIOD,OBS_VALUE
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2026-08-10,7.7931
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2026-08-11,7.7841
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2026-08-12,7.785
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2026-08-13,7.7774
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2026-08-14,7.7977
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2026-08-17,7.813
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2026-08-18,7.8049
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2026-08-19,7.8197
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2026-08-20,7.8538
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2026-08-21,7.8624
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2026-08-10,9.0653
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2026-08-11,9.0546
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2026-08-12,9.0594
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2026-08-13,9.0506
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2026-08-14,9.077
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2026-08-17,9.0951
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2026-08-18,9.0799
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2026-08-19,9.1002
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2026-08-20,9.1624
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2026-08-21,9.1726
