KEY,FREQ,CURRENCY,CURRENCY_DENOM,EXR_TYPE,EXR_SUFFIX,TIME_PERIOD,OBS_VALUE
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2026-08-10,9.0653
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2026-08-11,9.0546
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2026-08-12,9.0594
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2026-08-13,9.0506
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2026-08-14,9.077
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2026-08-17,9.0951
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2026-08-18,9.0799
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2026-08-19,9.1002
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2026-08-20,9.1624
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2026-08-21,9.1726
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2026-08-10,1.1555
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2026-08-11,1.154
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2026-08-12,1.1545
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2026-08-13,1.1534
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2026-08-14,1.1567
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2026-08-17,1.1593
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2026-08-18,1.1576
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2026-08-19,1.1605
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2026-08-20,1.1681
EXR.D.USD.EUR.SP00.A,D,USD,EUR,SP00,A,2026-08-21,1.1699
